nodeId,dstNodeId,dstPortId,outPorts,metrics
0,1,0,0,1
0,2,0,1,1
0,3,0,2,1
0,4,0,3,1
0,5,0,4,1
0,6,0,5,1
0,7,0,6,1
0,8,0,7,1
0,9,0,0,2
0,9,1,7,2
0,10,0,1,2
0,10,1,7,2
0,11,0,2,2
0,11,1,7,2
0,12,0,3,2
0,12,1,7,2
0,13,0,4,2
0,13,1,7,2
0,14,0,5,2
0,14,1,7,2
0,15,0,6,2
0,15,1,7,2
0,16,0,8,1
0,17,0,0,2
0,17,2,8,2
0,18,0,1,2
0,18,2,8,2
0,19,0,2,2
0,19,2,8,2
0,20,0,3,2
0,20,2,8,2
0,21,0,4,2
0,21,2,8,2
0,22,0,5,2
0,22,2,8,2
0,23,0,6,2
0,23,2,8,2
0,24,0,9,1
0,25,0,0,2
0,25,3,9,2
0,26,0,1,2
0,26,3,9,2
0,27,0,2,2
0,27,3,9,2
0,28,0,3,2
0,28,3,9,2
0,29,0,4,2
0,29,3,9,2
0,30,0,5,2
0,30,3,9,2
0,31,0,6,2
0,31,3,9,2
0,32,0,10,1
0,33,0,0,2
0,33,4,10,2
0,34,0,1,2
0,34,4,10,2
0,35,0,2,2
0,35,4,10,2
0,36,0,3,2
0,36,4,10,2
0,37,0,4,2
0,37,4,10,2
0,38,0,5,2
0,38,4,10,2
0,39,0,6,2
0,39,4,10,2
0,40,0,11,1
0,41,0,0,2
0,41,5,11,2
0,42,0,1,2
0,42,5,11,2
0,43,0,2,2
0,43,5,11,2
0,44,0,3,2
0,44,5,11,2
0,45,0,4,2
0,45,5,11,2
0,46,0,5,2
0,46,5,11,2
0,47,0,6,2
0,47,5,11,2
0,48,0,12,1
0,49,0,0,2
0,49,6,12,2
0,50,0,1,2
0,50,6,12,2
0,51,0,2,2
0,51,6,12,2
0,52,0,3,2
0,52,6,12,2
0,53,0,4,2
0,53,6,12,2
0,54,0,5,2
0,54,6,12,2
0,55,0,6,2
0,55,6,12,2
0,56,0,13,1
0,57,0,0,2
0,57,7,13,2
0,58,0,1,2
0,58,7,13,2
0,59,0,2,2
0,59,7,13,2
0,60,0,3,2
0,60,7,13,2
0,61,0,4,2
0,61,7,13,2
0,62,0,5,2
0,62,7,13,2
0,63,0,6,2
0,63,7,13,2
0,64,14,14,5
0,65,14,14,5
0,66,14,14,5
0,67,14,14,5
0,68,14,14,5
0,69,14,14,5
0,70,14,14,5
0,71,14,14,5
0,72,14,14,5
0,73,14,14,5
0,74,14,14,5
0,75,14,14,5
0,76,14,14,5
0,77,14,14,5
0,78,14,14,5
0,79,14,14,5
0,80,14,14,5
0,81,14,14,5
0,82,14,14,5
0,83,14,14,5
0,84,14,14,5
0,85,14,14,5
0,86,14,14,5
0,87,14,14,5
0,88,14,14,5
0,89,14,14,5
0,90,14,14,5
0,91,14,14,5
0,92,14,14,5
0,93,14,14,5
0,94,14,14,5
0,95,14,14,5
0,96,14,14,5
0,97,14,14,5
0,98,14,14,5
0,99,14,14,5
0,100,14,14,5
0,101,14,14,5
0,102,14,14,5
